泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
คืน	kheun	kɯ̄n	晚	derived	
กล่อง	klong	glɔ̄ngˇ	盒	derived	
ลูก	luk	lūkˋ-	子（櫻桃、冰淇淋）	book-exact	
แผ่น	phaen	pɛ̄nˇ	片（片狀、扁平的東西）	derived	
ชิ้น	chin	chin~	件／塊 / slice（某個部分）	derived	
กระดาษห้าแผ่น	gra-daat haa phaen	graˇ dātˇ hāˋ pɛ̄nˇ	五張紙	derived	
พิซซ่าหกชิ้น	pizza hok chín	pit~ sāˇ hokˇ chin~	六片披薩	derived	
ลูกชิ้น	luk chin	lūkˋ chin~	丸子	derived	
ไม้ลูกชิ้นปิ้ง	maai luk chin ping	māiˋ lūkˋ chin~ bingˋ	烤丸子串	derived	
กิโลกรัม	kilo kram	giˇ lō gram	公斤	derived	
กรัม	kram	gram	公克	derived	
เมตร	met	mētˋ	公尺	derived	
เซนติเมตร	sen ti met	sēnˊ diˇ mētˋ	公分	derived	
ลิตร	lit	lit~	公升	derived	
มิเตอร์	meter	mi~ də̄	跳表 / 計費錶	derived	
กดมิเตอร์	got meter	gotˇ mi~ də̄	按跳表	derived	
