泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
ข้าวผัดกะเพราปลาหมึกไข่ดาว	khao phat kaprao plaa muek khai dao	kāuˋ patˇ gaˇ prāu blā mɯk~ kaiˇ dāu	打拋魷魚飯＋荷包蛋	derived	
ไข่ไก่	khai gai	kaiˇ gaiˇ	雞蛋	derived	
ไข่เป็ด	khai pet	kaiˇ betˇ	鴨蛋	derived	
ไข่ปลา	khai plaa	kaiˇ blā	魚卵	derived	
ไข่ปู	khai puu	kaiˇ bū	蟹黃	derived	
ไข่เจียว	khai jiao	kaiˇ jīau	煎蛋	derived	
ไข่ดาว	khai dao	kaiˇ dāu	荷包蛋	derived	
ไข่นึ่ง	khai nueng	kaiˇ nɯngˋ	蒸蛋	derived	
ไข่ต้ม	khai tom	kaiˇ domˋ	白煮蛋	derived	
ไข่เค็ม	khai khem	kaiˇ kem	鹹蛋	derived	
ไข่เยี่ยวม้า	khai yiao maa	kaiˇ yīauˋ mā~	皮蛋	derived	
เอาน้ำอะไรดี	ao nam arai dii	au nām~ aˇ rai dhī	要什麼飲料好？	derived	
เอาชาเย็นดีไหม	ao cha-yen dii mai	au chā yen dhī maiˊ	要泰奶好嗎？	derived	
เอาอะไรอีก	ao arai iik	au aˇ rai īkˇ	還要什麼？	derived	
มีกุ้งทอดมันหรือเปล่า	mii kung thot man rʉʉ plao	mī - gungˋ tōtˋ man rɯ̄aˊ blāuˇ	有沒有炸蝦餅？	book-assisted	
มีทอดมันปลาหรือเปล่า	mii thot man plaa rʉʉ plao	mī - tōtˋ man blā rɯ̄aˊ blāuˇ	有沒有炸魚餅？	book-assisted	
ฉันกินเจ	chan kin je	chanˊ gin jē	我吃素	derived	
มีอาหารเจไหม	mi aahan je mai	mī - ā hānˊ jē maiˊ	有素食嗎？	book-assisted	
ขอเมนูหน่อยค่ะ	kho menu noi ka	kɔ̄ˊ mē nū nɔ̄iˇ kaˋ	請給我菜單（禮貌）	derived	
เก็บเงิน	kep ngoen	gepˇ ngə̄n	收錢！（偏直接）	derived	
เก็บเงินด้วย	kep ngoen duai	gepˇ ngə̄n dūayˋ	請收錢（較有禮貌）	derived	
เก็บตังค์	kep dang	gepˇ dang	收錢（口語、隨便講）	derived	
เช็คบิล	chek bin	chekˇ bin	check bill（最常用，誰都懂）	derived	
ยำไก่ทอด	yam gai thot	yam gaiˇ tōtˋ	泰式炸雞拌辣味酸甜沙拉	derived	
แกงไก่	kaeng gai	gɛ̄ng gaiˇ	泰式咖喱雞	derived	
แกงเขียวหวานไก่	kaeng khiao waan gai	gɛ̄ng kīauˊ wānˊ gaiˇ	綠咖哩雞	derived	
แกงแดงไก่	kaeng daeng gai	gɛ̄ng dɛ̄ng gaiˇ	紅咖哩雞	derived	
แกงจืดไก่	kaeng juut / kaeng jued gai	gɛ̄ng jɯ̄tˇ gaiˇ	清雞湯	derived	
แกงจืดหมูสับ	kaeng juut muu sap	gɛ̄ng jɯ̄tˇ mūˊ sapˇ	豬肉末清湯	derived	
แกงจืดเต้าหู้หมูสับ	kaeng juut tao hu muu sap	gɛ̄ng jɯ̄tˇ dāuˋ hūˋ mūˊ sapˇ	豆腐豬肉末清湯	derived	
แกงจืดเต้าหู้สาหร่าย	kaeng juut tao hu saa rai	gɛ̄ng jɯ̄tˇ dāuˋ hūˋ sāˊ rāiˋ	豆腐紫菜清湯	derived	
ขนม	ka nom	kaˇ nom	點心	derived	
ขนมปัง	ka nom bang	kaˇ nom bang	麵包	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ขนมเค้ก	ka nom kek	kaˇ nom kēk~	蛋糕	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ขนมเปี๊ยะ	ka nom bia	kaˇ nom bīa~	中式餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ชีส	chit	chītˋ	起士	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ชีสเค้ก	chit kek	chītˋ kēk~	起士蛋糕	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
คุกกี้	kuk gi	kukˇ gīˋ	餅乾	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ไอศกรีม	ai dim	ai saˇ grīm	冰淇淋	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
พุดดิ้ง	put ding	put~ dingˋ	布丁	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
โยเกิร์ต	yogat	yō gə̄tˇ	優格	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
แยม	yem	yɛ̄m	果醬	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เยลลี่	yen li	yēn līˋ	果凍	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
พายแอปเปิ้ล	pai ep pen	pāi ɛpˇ bə̄nˋ	蘋果派	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ป๊อปคอร์น	pop kon	bɔ̄p~ kɔ̄nˊ	爆米花	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ช็อกโกแลต	chok go let	chɔk~ gō lɛ̄tˋ	巧克力	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เบคอน	be kon	bē kɔ̄nˊ	培根	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เฟรนช์ฟราย	fren frai	frēn frāi	薯條	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
สลัด	sa lat	saˇ lat~	沙拉	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
สุกี้	suki	suˇ gīˋ	泰式火鍋（一人一鍋）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
หม้อไฟ	mo fai	mɔ̄ˋ fai	傳統火鍋（共鍋）	derived	
หม้อ	mo	mɔ̄ˋ	鍋子	derived	
ไฟ	fai	fai	火	derived	
ขนมจีน	ka nom jin	kaˇ nom jīn	泰式米線	derived	
ขนมจีบ	ka nom jip	kaˇ nom jīpˇ	燒賣	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ซาลาเปา	sa la bao	sāˊ lā bāu	包子	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
มันทอด	man tho	man tōtˋ	馬鈴薯	derived	
ติ่มซำ	dim sam	dimˇ sam	點心（港式）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เกี๊ยว	giau	gīau~	餃子	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เกี๊ยวน้ำ	giau nam	gīau~ nām~	餛飩湯	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ปอเปี๊ยะทอด	por pia thot	bɔ̄ bīa~ tōtˋ	炸春卷	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ปอเปี๊ยะสด	por pia sot	bɔ̄ bīa~ sotˇ	潤餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
คะน้า	ka na	ka~ nā~	芥蘭	derived	
น้ำมันหอย	nam man hoi	nām~ man hɔ̄iˊ	蠔油	derived	
พะโล้	pa lo	pa~ lō~	滷	derived	
ตุ๋น	dun	dunˊ	燉	derived	
มาม่า	mama	mā māˋ	泡麵	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เฉาก๊วย	chao guei	chāuˊ gūay~	仙草	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เต้าหู้ยี้	dau huei	dāuˋ hūˋ yī~	豆花	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เต้าหู้	dau hu	dāuˋ hūˋ	豆腐	derived	
น้ำเต้าหู้	nam dau hu	nām~ dāuˋ hūˋ	豆漿	derived	
น้ำเก๊กฮวย	nam gek huei	nām~ gēk~ hūay	菊花茶	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
กุยช่าย	gui chai	gui chāiˋ	韭菜	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ไช้เท้า	chai tau	chāi~ tāu~	菜頭（蘿蔔）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
ไชโป๊	chai bo	chāi bō~	菜脯	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
โรตี	roti	rō dī	泰式煎餅（甜）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เครป	crepe	krēpˇ	可麗餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
เท่าไหร่	thao rai	tāuˋ raiˇ	多少	derived	
ราคาเท่าไหร่	rakha thao rai	rā kāˊ tāuˋ raiˇ	價錢多少	derived	
อายุเท่าไหร่	ayu thao rai	ā yu~ tāuˋ raiˇ	年紀多少？	derived	
นานเท่าไหร่	nan thao rai	nān tāuˋ raiˇ	多久？	derived	
มีกี่เท่าไหร่	mi thao rai	mī - gīˇ tāuˋ raiˇ	有多少？	book-assisted	
วันที่เท่าไหร่	wan thi thao rai	wan - tīˋ tāuˋ raiˇ	第幾日？	book-assisted	
ซอยที่เท่าไหร่	soi thi thao rai	sɔ̄i tīˋ tāuˋ raiˇ	第幾巷？	derived	
หน้ที่เท่าไหร่	na thi thao rai	nāˋ tīˋ tāuˋ raiˇ	第幾頁？	derived	
ถูกหน่อยได้ไหม	thuk noi dai mai	tūkˇ nɔ̄iˇ dhaiˋ maiˊ	便宜點可以嗎？	derived	
ลดหน่อยได้ไหม	lot noi dai mai	lot~ nɔ̄iˇ dhaiˋ maiˊ	可以打折嗎？（較好的說法）	derived	
เก้าแสนล้าน	kao saen laan	gāuˋ sɛ̄nˊ lāan~	九百億	derived	
แปดสิบล้าน	paet sip laan	bɛtˇ sipˇ lāan~	八十億	derived	
เจ็ดร้อยล้าน	chet roi laan	jetˇ rɔ̄y~ lāan~	七億	derived	
